CustomerId,CreditScore,Geography,Gender,Age,EstimatedSalary,CreditScore_Custom,Age_Group_Custom,Balance,NumOfProducts,Tenure,IsActiveMember,Exited
15634602,619,France,Female,42.0,101348.88,Good,Middle-Aged,0.0,1,2,1,1
15647311,608,Spain,Female,41.0,112542.58,Good,Middle-Aged,83807.86,1,1,1,0
15619304,502,France,Female,42.0,113931.57,Fair,Middle-Aged,159660.8,3,8,0,1
15701354,699,France,Female,39.0,93826.63,Very Good,Middle-Aged,0.0,2,1,0,0
15737888,850,Spain,Female,43.0,79084.1,Excellent,Middle-Aged,125510.82,1,2,1,0
15574012,645,Spain,Male,44.0,149756.71,Good,Middle-Aged,113755.78,2,8,0,1
15592531,822,France,Male,50.0,10062.8,Excellent,Senior,0.0,2,7,1,0
15656148,376,Germany,Female,29.0,119346.88,Poor,Adult,115046.74,4,4,0,1
15792365,501,France,Male,44.0,74940.5,Fair,Middle-Aged,142051.07,2,4,1,0
15592389,684,France,Male,27.0,71725.73,Very Good,Adult,134603.88,1,2,1,0
15767821,528,France,Male,31.0,80181.12,Fair,Adult,102016.72,2,6,0,0
15737173,497,Spain,Male,24.0,76390.01,Poor,Young Adult,0.0,2,3,0,0
15632264,476,France,Female,34.0,26260.98,Poor,Adult,0.0,2,10,0,0
15691483,549,France,Female,25.0,190857.79,Fair,Adult,0.0,2,5,0,0
15600882,635,Spain,Female,35.0,65951.65,Good,Middle-Aged,0.0,2,7,1,0
15643966,616,Germany,Male,45.0,64327.26,Good,Middle-Aged,143129.41,2,3,1,0
15737452,653,Germany,Male,58.0,5097.67,Good,Senior,132602.88,1,1,0,1
15788218,549,Spain,Female,24.0,14406.41,Fair,Young Adult,0.0,2,9,1,0
15661507,587,Spain,Male,45.0,158684.81,Fair,Middle-Aged,0.0,1,6,0,0
15568982,726,France,Female,24.0,54724.03,Very Good,Young Adult,0.0,2,6,1,0
15577657,732,France,Male,41.0,170886.17,Very Good,Middle-Aged,0.0,2,8,1,0
15597945,636,Spain,Female,32.0,138555.46,Good,Adult,0.0,2,8,0,0
15699309,510,Spain,Female,38.0,118913.53,Fair,Middle-Aged,0.0,1,4,0,1
15725737,669,France,Male,46.0,8487.75,Very Good,Middle-Aged,0.0,2,3,1,0
15625047,846,France,Female,38.0,187616.16,Excellent,Middle-Aged,0.0,1,5,1,0
15738191,577,France,Male,25.0,124508.29,Fair,Adult,0.0,2,3,1,0
15736816,756,Germany,Male,36.0,170041.95,Very Good,Middle-Aged,136815.64,1,2,1,0
15700772,571,France,Male,44.0,38433.35,Fair,Middle-Aged,0.0,2,9,0,0
15656300,411,France,Male,29.0,53483.21,Poor,Adult,59697.17,2,0,1,0
15589475,591,Spain,Female,39.0,140469.38,Fair,Middle-Aged,0.0,3,3,0,1
15706552,533,France,Male,36.0,156731.91,Fair,Middle-Aged,85311.7,1,7,1,0
15750181,553,Germany,Male,41.0,81898.81,Fair,Middle-Aged,110112.54,2,9,0,0
15659428,520,Spain,Female,42.0,34410.55,Fair,Middle-Aged,0.0,2,6,1,0
15732963,722,Spain,Female,29.0,142033.07,Very Good,Adult,0.0,2,9,1,0
15794171,475,France,Female,45.0,27822.99,Poor,Middle-Aged,134264.04,1,0,0,1
15788448,490,Spain,Male,31.0,114066.77,Poor,Adult,145260.23,1,3,1,0
15729599,804,Spain,Male,33.0,98453.45,Excellent,Adult,76548.6,1,7,1,0
15717426,850,France,Male,36.0,40812.9,Excellent,Middle-Aged,0.0,1,7,1,0
15585768,582,Germany,Male,41.0,178074.04,Fair,Middle-Aged,70349.48,2,6,1,0
15619360,472,Spain,Male,40.0,70154.22,Poor,Middle-Aged,0.0,1,4,0,0
15738148,465,France,Female,51.0,181297.65,Poor,Senior,122522.32,1,8,0,1
15687946,556,France,Female,61.0,94153.83,Fair,Senior,117419.35,1,2,1,0
15755196,834,France,Female,49.0,194365.76,Excellent,Middle-Aged,131394.56,1,2,0,1
15684171,660,Spain,Female,61.0,158338.39,Very Good,Senior,155931.11,1,5,1,0
15754849,776,Germany,Female,32.0,126517.46,Very Good,Adult,109421.13,2,4,1,0
15602280,829,Germany,Female,27.0,119708.21,Excellent,Adult,112045.67,1,9,1,1
15771573,637,Germany,Female,39.0,117622.8,Good,Middle-Aged,137843.8,1,9,1,1
15766205,550,Germany,Male,38.0,90878.13,Fair,Middle-Aged,103391.38,1,2,1,0
15771873,776,Germany,Female,37.0,194099.12,Very Good,Middle-Aged,103769.22,2,2,0,0
15616550,698,Germany,Male,44.0,198059.16,Very Good,Middle-Aged,116363.37,2,10,0,0
15768193,585,Germany,Male,36.0,86424.57,Fair,Middle-Aged,146050.97,2,5,0,0
15683553,788,France,Female,33.0,116978.19,Excellent,Adult,0.0,2,5,0,0
15702298,655,Germany,Male,41.0,164040.94,Good,Middle-Aged,125561.97,1,8,0,1
15569590,601,Germany,Male,42.0,40014.76,Good,Middle-Aged,98495.72,1,1,0,1
15760861,619,France,Male,43.0,113410.49,Good,Middle-Aged,125211.92,1,1,1,0
15630053,656,France,Male,45.0,87107.57,Good,Middle-Aged,127864.4,1,5,0,0
15647091,725,Germany,Male,19.0,45613.75,Very Good,Young Adult,75888.2,1,0,0,0
15623944,511,Spain,Female,66.0,1643.11,Fair,Very Senior,0.0,1,4,0,1
15804771,614,France,Male,51.0,46775.28,Good,Senior,40685.92,1,4,1,0
15651280,742,Germany,Male,35.0,84509.57,Very Good,Middle-Aged,136857.0,1,5,0,0
15773469,687,Germany,Female,27.0,126494.82,Very Good,Adult,152328.88,2,9,0,0
15702014,555,Spain,Male,33.0,178798.13,Fair,Adult,56084.69,2,1,0,0
15751208,684,Spain,Male,56.0,99398.36,Very Good,Senior,78707.16,1,8,1,0
15592461,603,Germany,Male,26.0,92840.67,Good,Adult,109166.37,1,4,1,0
15789484,751,Germany,Female,36.0,27758.36,Very Good,Middle-Aged,169831.46,2,6,1,0
15696061,581,Germany,Female,34.0,110431.51,Fair,Adult,101633.04,1,1,0,0
15641582,735,Germany,Male,43.0,196673.28,Very Good,Middle-Aged,123180.01,2,10,1,0
15638424,661,Germany,Female,35.0,113656.85,Very Good,Middle-Aged,150725.53,2,5,1,0
15755648,675,France,Female,21.0,18203.0,Very Good,Young Adult,98373.26,1,8,0,0
15703793,738,Germany,Male,58.0,28373.86,Very Good,Senior,133745.44,4,2,0,1
15620344,813,France,Male,29.0,33953.87,Excellent,Adult,0.0,1,6,0,0
15812518,657,Spain,Female,37.0,44203.55,Good,Middle-Aged,163607.18,1,0,1,0
15779052,604,Germany,Female,25.0,58426.81,Good,Adult,157780.84,2,5,1,0
15770811,519,France,Male,36.0,145562.4,Fair,Middle-Aged,0.0,2,9,1,0
15780961,735,France,Female,21.0,22388.0,Very Good,Young Adult,178718.19,2,1,0,0
15614049,664,France,Male,55.0,139161.64,Very Good,Senior,0.0,2,8,1,0
15662085,678,France,Female,32.0,148210.64,Very Good,Adult,0.0,1,9,1,0
15575185,757,Spain,Male,33.0,194239.63,Very Good,Adult,77253.22,1,5,1,0
15803136,416,Germany,Female,41.0,98301.61,Poor,Middle-Aged,122189.66,2,10,0,0
15706021,665,France,Female,34.0,171413.66,Very Good,Adult,96645.54,2,1,0,0
15663706,777,France,Female,32.0,136458.19,Very Good,Adult,0.0,1,2,0,1
15641732,543,France,Female,36.0,26019.59,Fair,Middle-Aged,0.0,2,3,0,0
15701164,506,France,Female,34.0,159235.29,Fair,Adult,90307.62,1,4,1,0
15738751,493,France,Female,46.0,1907.66,Poor,Middle-Aged,0.0,2,4,0,0
15805254,652,Spain,Female,75.0,114675.75,Good,Very Senior,0.0,2,10,1,0
15762418,750,Spain,Male,22.0,128643.35,Very Good,Young Adult,121681.82,1,3,0,1
15625759,729,France,Male,30.0,151869.35,Very Good,Adult,0.0,2,9,0,0
15622897,646,France,Female,46.0,93251.42,Good,Middle-Aged,0.0,3,4,0,1
15767954,635,Germany,Female,28.0,156791.36,Good,Adult,81623.67,2,3,1,0
15757535,647,Spain,Female,44.0,174205.22,Good,Middle-Aged,0.0,3,5,1,1
15731511,808,France,Male,45.0,147132.46,Excellent,Middle-Aged,118626.55,2,7,0,0
15809248,524,France,Female,36.0,109614.57,Fair,Middle-Aged,0.0,2,10,0,0
15640635,769,France,Male,29.0,172290.61,Very Good,Adult,0.0,2,8,1,0
15676966,730,Spain,Male,42.0,85982.47,Very Good,Middle-Aged,0.0,2,4,1,0
15699461,515,Spain,Male,35.0,121277.78,Fair,Middle-Aged,176273.95,1,10,1,0
15738721,773,Spain,Male,41.0,64595.25,Very Good,Middle-Aged,102827.44,1,9,1,0
15693683,814,Germany,Male,29.0,197276.13,Excellent,Adult,97086.4,2,8,1,0
15604348,710,Spain,Male,22.0,99645.04,Very Good,Young Adult,0.0,2,8,0,0
15633059,413,France,Male,34.0,6534.18,Poor,Adult,0.0,2,9,0,0
15808582,665,France,Female,40.0,161848.03,Very Good,Middle-Aged,0.0,1,6,1,0
15743192,623,France,Female,44.0,167162.43,Good,Middle-Aged,0.0,2,6,0,0
15580146,738,France,Male,31.0,41970.72,Very Good,Adult,82674.15,1,9,0,0
15776605,528,Spain,Male,36.0,60536.56,Fair,Middle-Aged,0.0,2,7,0,0
15804919,670,Spain,Female,65.0,177655.68,Very Good,Very Senior,0.0,1,1,1,1
15613854,622,Spain,Female,46.0,30984.59,Good,Middle-Aged,107073.27,2,4,1,1
15599195,582,Germany,Male,32.0,10054.53,Fair,Adult,88938.62,1,1,1,0
15812878,785,Germany,Female,36.0,36976.52,Excellent,Middle-Aged,99806.85,1,2,1,0
15602312,605,Spain,Male,33.0,71862.79,Good,Adult,150092.8,1,5,0,0
15744689,479,Germany,Male,35.0,99449.86,Poor,Middle-Aged,92833.89,1,9,0,1
15803526,685,Germany,Male,30.0,63082.88,Very Good,Adult,90536.81,1,3,1,0
15665790,538,Germany,Male,39.0,27231.26,Fair,Middle-Aged,108055.1,2,7,0,0
15715951,562,France,Male,42.0,86797.41,Fair,Middle-Aged,100238.35,1,2,0,0
