iter	Passed	Remaining
0	8	8232
1	15	7729
2	20	6878
3	25	6468
4	31	6250
5	36	6107
6	42	6075
7	48	6061
8	54	6015
9	60	5963
10	65	5921
11	71	5875
12	76	5823
13	82	5797
14	87	5747
15	92	5697
16	119	6900
17	135	7366
18	146	7585
19	156	7651
20	164	7655
21	171	7617
22	178	7580
23	183	7470
24	189	7396
25	196	7348
26	202	7279
27	207	7206
28	213	7148
29	218	7071
30	223	6982
31	227	6896
32	233	6836
33	238	6771
34	243	6725
35	249	6673
36	254	6619
37	259	6572
38	264	6528
39	269	6469
40	274	6411
41	278	6355
42	283	6320
43	289	6286
44	294	6257
45	299	6220
46	305	6185
47	310	6152
48	315	6118
49	320	6088
50	325	6050
51	330	6022
52	335	5996
53	340	5964
54	345	5936
55	350	5900
56	353	5844
57	357	5806
58	361	5773
59	367	5752
60	372	5730
61	377	5705
62	382	5683
63	387	5661
64	392	5640
65	397	5619
66	402	5609
67	407	5590
68	413	5577
69	419	5571
70	424	5556
71	429	5537
72	435	5523
73	440	5508
74	445	5492
75	450	5473
76	455	5454
77	460	5439
78	465	5425
79	470	5409
80	475	5394
81	480	5375
82	484	5353
83	489	5338
84	494	5323
85	499	5305
86	504	5291
87	508	5272
88	513	5260
89	518	5246
90	523	5234
91	529	5221
92	534	5210
93	539	5198
94	544	5185
95	549	5174
96	554	5166
97	559	5151
98	565	5142
99	570	5131
100	575	5120
101	580	5109
102	585	5099
103	590	5089
104	595	5078
105	601	5069
106	605	5057
107	611	5051
108	616	5040
109	622	5032
110	627	5024
111	632	5017
112	637	5007
113	643	4999
114	648	4989
115	653	4979
116	658	4969
117	663	4961
118	668	4946
119	672	4934
120	678	4925
121	683	4915
122	686	4892
123	691	4884
124	696	4875
125	701	4865
126	706	4855
127	710	4843
128	715	4834
129	721	4825
130	726	4817
131	731	4809
132	736	4801
133	741	4792
134	746	4782
135	751	4774
136	756	4766
137	761	4757
138	766	4748
139	771	4741
140	776	4733
141	782	4725
142	787	4717
143	792	4709
144	797	4701
145	802	4693
146	807	4684
147	812	4678
148	817	4670
149	823	4663
150	828	4655
151	833	4648
152	836	4633
153	841	4623
154	846	4612
155	851	4604
156	856	4597
157	861	4589
158	866	4580
159	871	4575
160	875	4563
161	880	4555
162	885	4549
163	891	4542
164	895	4533
165	901	4529
166	906	4521
167	911	4514
168	916	4508
169	921	4501
170	926	4492
171	931	4484
172	936	4476
173	941	4469
174	946	4461
175	951	4456
176	956	4447
177	961	4440
178	966	4433
179	971	4425
180	976	4418
181	981	4412
182	986	4406
183	991	4398
184	996	4390
185	1001	4382
186	1006	4376
187	1011	4368
188	1017	4364
189	1022	4357
190	1027	4350
191	1032	4343
192	1037	4336
193	1042	4330
194	1047	4325
195	1052	4317
196	1057	4311
197	1063	4305
198	1068	4299
199	1073	4292
200	1078	4286
201	1083	4280
202	1088	4273
203	1093	4267
204	1098	4259
205	1103	4252
206	1108	4245
207	1113	4239
208	1118	4231
209	1123	4224
210	1128	4219
211	1133	4213
212	1138	4206
213	1143	4198
214	1148	4192
215	1153	4185
216	1158	4178
217	1163	4172
218	1168	4168
219	1173	4162
220	1178	4153
221	1183	4147
222	1188	4141
223	1193	4134
224	1198	4128
225	1203	4122
226	1209	4118
227	1216	4117
228	1222	4117
229	1228	4113
230	1233	4107
231	1239	4102
232	1244	4096
233	1249	4089
234	1254	4084
235	1259	4078
236	1264	4072
237	1270	4066
238	1274	4058
239	1279	4051
240	1284	4044
241	1289	4037
242	1294	4031
243	1298	4024
244	1303	4018
245	1308	4011
246	1313	4004
247	1318	3998
248	1323	3992
249	1328	3986
250	1333	3980
251	1339	3974
252	1344	3968
253	1348	3961
254	1354	3956
255	1358	3949
256	1363	3943
257	1369	3937
258	1374	3931
259	1379	3925
260	1384	3919
261	1389	3913
262	1394	3907
263	1399	3901
264	1404	3896
265	1408	3885
266	1412	3879
267	1417	3871
268	1422	3866
269	1427	3860
270	1432	3854
271	1437	3848
272	1442	3841
273	1447	3835
274	1451	3826
275	1456	3820
276	1461	3814
277	1466	3809
278	1471	3803
279	1476	3797
280	1481	3791
281	1486	3784
282	1491	3778
283	1496	3773
284	1499	3762
285	1504	3756
286	1509	3750
287	1514	3744
288	1519	3738
289	1524	3732
290	1529	3727
291	1534	3721
292	1539	3714
293	1544	3709
294	1549	3703
295	1554	3696
296	1559	3690
297	1564	3684
298	1569	3679
299	1572	3670
300	1577	3664
301	1582	3658
302	1587	3652
303	1593	3647
304	1598	3641
305	1603	3636
306	1608	3630
307	1612	3623
308	1618	3618
309	1622	3612
310	1628	3606
311	1632	3600
312	1637	3594
313	1642	3589
314	1647	3583
315	1652	3577
316	1657	3572
317	1663	3567
318	1668	3561
319	1673	3556
320	1678	3550
321	1683	3545
322	1689	3540
323	1692	3531
324	1697	3525
325	1702	3519
326	1707	3514
327	1712	3508
328	1717	3503
329	1722	3497
330	1727	3491
331	1732	3485
332	1737	3480
333	1742	3474
334	1747	3468
335	1752	3463
336	1757	3457
337	1762	3452
338	1767	3446
339	1772	3440
340	1777	3434
341	1782	3429
342	1787	3423
343	1792	3417
344	1797	3412
345	1800	3403
346	1805	3398
347	1810	3392
348	1815	3387
349	1820	3381
350	1825	3375
351	1830	3370
352	1836	3365
353	1841	3359
354	1844	3351
355	1849	3346
356	1854	3340
357	1859	3335
358	1864	3329
359	1869	3324
360	1874	3318
361	1879	3313
362	1884	3307
363	1889	3301
364	1894	3296
365	1900	3291
366	1905	3285
367	1910	3280
368	1915	3275
369	1920	3269
370	1924	3262
371	1929	3257
372	1934	3251
373	1939	3246
374	1944	3240
375	1949	3234
376	1953	3228
377	1958	3223
378	1964	3218
379	1969	3213
380	1974	3207
381	1979	3201
382	1984	3196
383	1989	3191
384	1994	3185
385	1999	3180
386	2004	3174
387	2009	3169
388	2014	3164
389	2018	3157
390	2023	3152
391	2028	3146
392	2034	3141
393	2038	3136
394	2044	3130
395	2049	3125
396	2054	3120
397	2058	3114
398	2063	3108
399	2068	3103
400	2073	3097
401	2078	3092
402	2083	3086
403	2088	3081
404	2093	3076
405	2098	3070
406	2104	3065
407	2109	3060
408	2114	3055
409	2119	3050
410	2124	3044
411	2129	3039
412	2134	3034
413	2139	3028
414	2144	3023
415	2149	3017
416	2154	3012
417	2159	3007
418	2164	3001
419	2169	2996
420	2175	2991
421	2180	2985
422	2186	2982
423	2191	2976
424	2196	2971
425	2201	2966
426	2206	2961
427	2211	2956
428	2217	2950
429	2222	2945
430	2226	2939
431	2231	2934
432	2236	2929
433	2241	2923
434	2246	2918
435	2251	2912
436	2256	2907
437	2261	2901
438	2266	2896
439	2271	2890
440	2276	2885
